ID,LESSON,BOOK_LESSON,SUBJECT,TITLE,BOOK_TITLE,TIMESTAMP,VOLUME,PAGE,DESCRIPTION,BOOK_DESCRIPTION,INVENTOR
228,29-2,28,Billiard Ball Manipulation,A Mysterious Ball Transposition,Humpty Dumpty Outdone,0:00:06,2,313,"2 different colored plastic easter eggs are shown.  Something valuable from the audience is placed into each of them and placed into folded handkerchiefs.  In full view, the eggs switch places and are opened to show that the items are in the eggs as well.","Egg and handkerchief are examined. Egg is dropped into handkerchief, and then broken by the spectator. Spectator reaches in to remove egg, and it is whole.",NONE
229,29-2,28,Billiard Ball Manipulation,A Mysterious Ball Transposition (Disco Version),Tarbell's Unbreakable Egg,0:16:07,---,---,Magic 8-Ball and Disco Ball of similar size are both placed in different handkerchiefs and both swap places.,"As above, uses a double handkerchief.",NONE
230,3-1,28,Sleight of hand with Coins,Palming/Vanishing,The Egg Bag,0:00:08,1,64,---,Discusses some brief history. Provides a routine in which an egg transports between a handkerchief and an egg bag in mysterious ways. Describes how to make a Tarbell Style egg bag and devil's handkerchief'.,NONE
231,3-1,28,Sleight of hand with Coins,Front Flat Palm (Classic Palm),Fool-zum Egg Bag Routine (Percy Abbott),0:01:05,1,64,---,"Uses silken egg bag and an ungimmicked duplicate. Bag is pushed through metal ring, egg is produced. At the end, the bag turns into an egg, which is cracked open into a glass.",NONE
232,3-1,29,Sleight of hand with Coins,Pressure Palm,Billiard Ball Manipulation,0:03:48,1,64,---,,NONE
233,3-1,29,Sleight of hand with Coins,Front Edge Palm (Classic Edge Grip),Adam and Eve,0:04:41,1,65,---,Billiard balls (shell) multiply and vanish in the hand to the patter of a story of Adam and Eve.,NONE
234,3-1,29,Sleight of hand with Coins,Front Thumb Palm,The Multiplying Golf Balls,0:05:30,1,65,---,just a description,NONE
235,3-1,29,Sleight of hand with Coins,Back Thumb Palm,Special Adjuncts for Ball Manipulators,0:06:39,1,65,---,how to make a holder.,NONE
236,3-1,29,Sleight of hand with Coins,Invisible Thumb Palm (Downs Palm),Rainbow Billiard Balls,0:07:27,1,65,---,"Red white green and yellow balls appear and change color in this routine. (4 colored balls, one shell)",NONE
237,3-1,29,Sleight of hand with Coins,Finger Palm,A Mysterious Ball Transposition,0:08:30,1,65,---,"Green ball wrapped in green handkerchief and placed in glass changes places with red ball wrapped in red handkerchief placed in another glass. (2 color balls, one shell)",NONE
238,3-1,30,Sleight of hand with Coins,Curled Finger Tip Palm,Handkerchief Magic,0:10:03,1,65,---,,NONE
239,3-1,30,Sleight of hand with Coins,Front Finger Palm,The Handkerchief Ball,0:11:01,1,66,---,"Sleeves are rolled up, yet a rolled up handkerchief vanishes, both sides of hands being shown empty. The silk reappears.",NONE
240,3-1,30,Sleight of hand with Coins,Back Finger Palm,Soup Plate and Handkerchiefs,0:11:50,1,66,---,"Folded newspaper and soup plate are placed on a chair. Two silks are vanished, and appear under the soup plate.",NONE
241,3-1,30,Sleight of hand with Coins,Front to Back Transfer,Two Soup Plates and Handkerchiefs,0:13:28,1,66,---,Two empty plates are shown and put together mouth to mouth. Two silks are vanished and found between the plates.,NONE
242,3-1,30,Sleight of hand with Coins,Front Finger Clip,Twentieth Century Silks,0:13:39,1,66,---,"Two silks are knotted together and placed in a silk goblet. Another silk is vanished, and is found tied between the other silks.",NONE
243,3-1,30,Sleight of hand with Coins,Back Finger Clip,Handkerchief to Billiard Ball,0:14:05,1,66,---,A silk handkerchief tucked into the hand turns into a billiard ball.,NONE
244,3-1,30,Sleight of hand with Coins,Back to Front Transfer,The Elusive Rainbow,0:14:16,---,---,---,Humorous 20th Century Silks,NONE
245,3-1,30,Sleight of hand with Coins,Closed Finger Palm,Spot the Red,0:15:06,1,66,---,As above.,NONE
246,3-1,31,Sleight of hand with Coins,Pinky Pinch,Rope Magic,0:16:06,---,---,---,,NONE
247,3-1,31,Sleight of hand with Coins,Modified Back Finger Clip,Type of Rope Used,0:16:50,---,---,---,short description.,NONE
248,3-1,31,Sleight of hand with Coins,Finger Tip Clip,Christopher's Three Knots in a Rope,0:19:01,1,67,---,"Three knots appear in a six foot rope. One is blown and vanishes, the second is untied to show it is real, the third is visibly pulled off the rope and thrown to the audience.",NONE
249,3-1,31,Sleight of hand with Coins,Two Finger Balance,Christopher's Jumping Knot,0:19:22,1,67,---,A knot is tied in the end of a rope and held under the foot. Suddenly the knot jumps to the top of the rope.,NONE
250,3-1,31,Sleight of hand with Coins,Thumb-Fingertip Horizontal Hold,"Tannen's Ring, Knot, and Rope",0:20:24,1,67,---,"A finger ring is borrowed, wrapped in a handkerchief and handed to a spectator to hold. A rope is held between the foot and the hand, and the handkerchief is waved at the rope. The ring appears knotted in the center of the rope.",NONE
251,3-1,31,Sleight of hand with Coins,Ramsey Subtlety,Christopher's Thread to Rope,0:20:57,---,---,---,"A length of thread is produced and a knot is magically tied, but when other can't see it, it changes instantly to a rope.",NONE
252,3-1,31,Sleight of hand with Coins,Thumb-Fingertip Vertical Hold,Self Untying Rope,0:21:17,1,67,---,follow up to Thread to Rope mystery. Rope unties itself.,NONE
253,3-1,31,Sleight of hand with Coins,Production Clip,Christopher's Cigarette to Rope,0:21:41,1,67,---,Lighted cigarette is placed into left fist. It turns into a 5 foot rope.,NONE
254,3-1,31,Sleight of hand with Coins,Pinch Clip,The Phantom Knot,0:22:25,1,68,---,A knot tied in a rope disappears with a simple pass of the hand.,NONE
255,3-1,31,Sleight of hand with Coins,Flat Finger Position,Hindu Knots,0:22:59,1,68,---,"Rope is coiled and placed on table; when pulled up, it is filled with knots. It is placed on the table again, and the knots vanish.",NONE
256,3-1,31,Sleight of hand with Coins,Fist Horizontal and Fist Vertical Holds,Chefalo's Knot,0:23:40,1,68,---,Double knot disappears on command.,NONE
257,3-1,31,Sleight of hand with Coins,Front Thumb Palm Vanish,Tarbell's Triple Chefalo Knot,0:25:35,1,68-69,---,A system of interlaced knots are untied even though the ends are held by a spectator. Rope,NONE
258,3-1,31,Sleight of hand with Coins,Top Pocket Vanish,Hocus Pocus Cut and Restored Rope,0:27:10,1,69-70,---,"Two ends are tied, and the loop shown. It is double coiled and cut, and the knot is cut away. Rope is tied again. The knot disappears, healing the rope.",NONE
259,3-1,31,Sleight of hand with Coins,Front Flat Palm Vanish,A Novel Knot Steal,0:29:27,1,70,---,A false knot that does not have to be slid off.,NONE
260,3-1,31,Sleight of hand with Coins,Front Finger Palm Vanish,Magician's Cut and Restored Rope,0:30:09,1,70-71,---,"Rope is brought up in a loop and cut, both pieces being shown. The rope is restored.",NONE
261,3-1,31,Sleight of hand with Coins,The Coin Slide Vanish,Perplexo Cut and Restored Rope,0:31:23,1,71,---,Good follow up to above.,NONE
262,3-1,31,Sleight of hand with Coins,Thumb Grip Vanish,Himber's Rope Mystery,0:32:03,1,71-72,---,Impromptu cut and restored rope.,NONE
263,3-1,31,Sleight of hand with Coins,Finger Palm Vanish,Ted Collin's Panama Rope Mystery,0:33:42,1,72,---,A rope is cut into four pieces and restored.,NONE
264,3-1,31,Sleight of hand with Coins,Lift Up Vanish,Rope Routines,0:34:19,1,72-73,---,a very short suggestion for a full routine.,NONE
265,3-1,32,Sleight of hand with Coins,Invisible Thumb Vanish,Ghostlite Mysteries,0:37:21,1,73,---,,NONE
266,3-1,32,Sleight of hand with Coins,Le Tourniquet Vanish (French Drop),Ghostly Card in the Dark,0:39:40,1,73,---,Floating pips in the dark form the selected card.,NONE
267,3-1,32,Sleight of hand with Coins,"Tarbell's Improved ""French"" Vanish",Date on a Borrowed Coin,0:40:40,1,74,---,"As above, revealing the date.",NONE
268,3-1,32,Sleight of hand with Coins,"Le Paul's Improved ""French"" Vanish",A Selected Word,0:41:10,1,74-75,---,a forced word from a book revealed.,NONE
269,3-1,32,Sleight of hand with Coins,Spider Vanish,Spirit Answers,0:42:18,---,---,---,use a glowing alphabet.,NONE
270,3-1,32,Sleight of hand with Coins,"Tarbell's ""Nip-Away"" Coin Vanish",The Phantom Die,0:43:31,1,75-76,---,"A side of a die is selected and placed face up by the spectator, then placed into a bag. The magician opens the bag, removes the die, and divulges the number.",NONE
271,3-1,32,Sleight of hand with Coins,The Superba Coin Vanish,The Magazine Test,0:44:47,1,76,---,"Spectator selects page in weekly newspaper and notes top line. Magician takes paper, turns to proper page, and reads the selection.",NONE
272,3-1,32,Sleight of hand with Coins,The Direct Coin Vanish,The Phantom Tray,0:45:43,1,77,---,"Ash tray held behind back; spectator places item there, concentrates on it, and removes it. Magician can reveal item.",NONE
273,3-1,32,Sleight of hand with Coins,Joe Berg's Thumb Coin,The Evil Eye,0:47:16,1,77-78,---,create a floating evil eye,NONE
274,3-1,32,Sleight of hand with Coins,Pick-Up Vanish,Spooky Lights,0:48:23,1,78,---,lights appear from nowhere and move about in darkened room.,NONE
275,3-1,32,Sleight of hand with Coins,Front and Back Finger Palming,Apparitions of Spirit Articles,0:49:23,1,78-80,---,Glowing objects.,NONE
276,3-1,32,Sleight of hand with Coins,Back/Front Finger Clip Vanish,Ghostly Faces,0:49:50,1,80-81,---,luminous masks,NONE
277,3-1,32,Sleight of hand with Coins,Ditching (To get rid of coin after vanishing it in hand),Ectoplasm,0:51:07,1,82,---,Mysterious substance projects from mouth.,NONE
278,3-1,32,Sleight of hand with Coins,Elusive Change-over Palm,Ghost Materialization,0:52:23,1,82-83,---,full size ghost appearance.,NONE
279,3-1,32,Sleight of hand with Coins,The Thumb Change-Over,Spirit Lights Under Test,0:53:38,1,83-84,---,Light flashes from impossible conditions.,NONE
280,3-1,33,Sleight of hand with Coins,Hand Washing Change-over,Illusions,0:54:50,---,---,---,,NONE
281,30-1,33,Handkerchief Magic,The Handkerchief Ball,The Mystery of King Tut,0:00:09,2,317,A ping pong ball utility device to vanish and appear silks,Magician wraps self in blanket to mimic mummy. Assistant protests and show magician how to do it. A man from audience joins and the three argue. Suddenly the man removes his costume and is found to be the assistant. The blanket is opened and a girl appears!,NONE
282,30-1,33,Handkerchief Magic,Soup Plate and Handkerchiefs,Who and Which,0:05:21,2,322,3 different color silks are caused to vanish and then all reappear together.,"Hindu magician ties girl in sack and places screen around her. After moving around a bit, the sack is opened and found to be the magician, the Hindu costume is removed and found to be the girl.",NONE
283,30-1,33,Handkerchief Magic,Two Soup Plates and Handkerchiefs,Who and Which Simple Method,0:20:03,2,325,"2 styrofoam plates are stapled together by the spectator to form a frisbee. 4 different color silks are selected. 2 are given to the magician, 2 are kept by spectator. 1 of spectator's silks goes back into bowl it came out of.  All other silk's are gotten rid of.  Magician causes silk to disappear.  Spectator picks up ""frisbee"" and tears it to find silk. ",as above.,NONE
284,30-1,33,Handkerchief Magic,Twentieth Century Silks,Three Kings and a Queen,0:32:32,2,327,"1 pair of socks is placed in a goblet, another pair is placed in a lunch bag.  Sock is pulled from lunch bag, but no longer a pair, socks are pulled from goblet and other sock from lunch bag is shown pinned between this pair.",Three large playing cards are held flat and carried one at a time to center of stage. A real 'queen' appeared from within them!,NONE
285,30-1,33A,Handkerchief Magic,Handkerchief to Billard Ball,The Optical Force,0:42:59,2,331,"Handkerchief appears and when rolled into your hand, becomes a billiard ball.",two spectators choose cards,NONE
286,30-1,33A,Handkerchief Magic,The Elusive Rainbow,Demon Digits,0:45:48,2,333,"Black and white silks are tied together, knot is placed in magician's mouth, when pulled out, several different colored silks come out all tied together.","calculation procedure, result predicted",NONE
